Development Set Accuracy: 0.8972491909385113
Test Set Accuracy: 0.891566265060241
Predictions for new sentences: ['hin' 'eng']
Per-Class Metrics (No Averaging):
Dev Precision: [1.         0.95555556 0.98837209 1.         1.         1.
 1.         1.         1.         0.63141994 1.        ]
Dev Recall: [0.75409836 0.96629213 0.94444444 0.95172414 0.95698925 0.74489796
 0.875      0.95098039 0.81308411 1.         0.875     ]
Dev F1-Score: [0.85981308 0.96089385 0.96590909 0.97526502 0.97802198 0.85380117
 0.93333333 0.97487437 0.89690722 0.77407407 0.93333333]


Test Precision: [1.         0.95555556 0.98837209 1.         1.         1.
 1.         1.         1.         0.63141994 1.        ]
Test Recall: [0.75409836 0.96629213 0.94444444 0.95172414 0.95698925 0.74489796
 0.875      0.95098039 0.81308411 1.         0.875     ]
Test F1-Score: [0.85981308 0.96089385 0.96590909 0.97526502 0.97802198 0.85380117
 0.93333333 0.97487437 0.89690722 0.77407407 0.93333333]


For Macro Averaging:
Dev Precision: 0.9613952352868954
Dev Recall: 0.8938646171513249
Dev F1-Score: 0.9187478658313811
Test Precision: 0.9613952352868954
Test Recall: 0.8938646171513249
Test F1-Score: 0.9187478658313811


For Micro Averaging:
Dev Precision: 0.8972491909385113
Dev Recall: 0.8972491909385113
Dev F1-Score: 0.8972491909385113
Test Precision: 0.8972491909385113
Test Recall: 0.8972491909385113
Test F1-Score: 0.8972491909385113


For Weighted Averaging:
Dev Precision: 0.9336283982104683
Dev Recall: 0.8972491909385113
Dev F1-Score: 0.9030762214555104
Test Precision: 0.9336283982104683
Test Recall: 0.8972491909385113
Test F1-Score: 0.9030762214555104
